Pavarde             Vardas              Galutinis (med.)
---------------------------------------------------------------
Pavarde1            Vardas1             3.8            
Pavarde10           Vardas10            4.4            
Pavarde100          Vardas100           6              
Pavarde1000         Vardas1000          3.4            
Pavarde10000        Vardas10000         4.4            
Pavarde1001         Vardas1001          6.4            
Pavarde1002         Vardas1002          3.2            
Pavarde1003         Vardas1003          7.8            
Pavarde1004         Vardas1004          6.6            
Pavarde1005         Vardas1005          6.6            
Pavarde1006         Vardas1006          4              
Pavarde1007         Vardas1007          7              
Pavarde1008         Vardas1008          8.2            
Pavarde1009         Vardas1009          4              
Pavarde101          Vardas101           4.6            
Pavarde1010         Vardas1010          7.2            
Pavarde1011         Vardas1011          4.8            
Pavarde1012         Vardas1012          7.8            
Pavarde1013         Vardas1013          3.4            
Pavarde1014         Vardas1014          7.4            
Pavarde1015         Vardas1015          2.2            
Pavarde1016         Vardas1016          7.2            
Pavarde1017         Vardas1017          4.4            
Pavarde1018         Vardas1018          7              
Pavarde1019         Vardas1019          4.6            
Pavarde102          Vardas102           5.6            
Pavarde1020         Vardas1020          5.2            
Pavarde1021         Vardas1021          7.4            
Pavarde1022         Vardas1022          5.6            
Pavarde1023         Vardas1023          6.4            
Pavarde1024         Vardas1024          6.6            
Pavarde1025         Vardas1025          6.4            
Pavarde1026         Vardas1026          7.2            
Pavarde1027         Vardas1027          4.4            
Pavarde1028         Vardas1028          3.2            
Pavarde1029         Vardas1029          7.4            
Pavarde103          Vardas103           6              
Pavarde1030         Vardas1030          3.2            
Pavarde1031         Vardas1031          9              
Pavarde1032         Vardas1032          3.4            
Pavarde1033         Vardas1033          6.6            
Pavarde1034         Vardas1034          5.2            
Pavarde1035         Vardas1035          4              
Pavarde1036         Vardas1036          6.6            
Pavarde1037         Vardas1037          5              
Pavarde1038         Vardas1038          6.4            
Pavarde1039         Vardas1039          4.8            
Pavarde104          Vardas104           8.4            
Pavarde1040         Vardas1040          6.6            
Pavarde1041         Vardas1041          7.8            
Pavarde1042         Vardas1042          4.4            
Pavarde1043         Vardas1043          3              
Pavarde1044         Vardas1044          7.2            
Pavarde1045         Vardas1045          6.4            
Pavarde1046         Vardas1046          7.4            
Pavarde1047         Vardas1047          5.8            
Pavarde1048         Vardas1048          4.8            
Pavarde1049         Vardas1049          7.8            
Pavarde105          Vardas105           4              
Pavarde1050         Vardas1050          6.6            
Pavarde1051         Vardas1051          5.6            
Pavarde1052         Vardas1052          4.4            
